# Série;Designação da série (PT);Métrica;Unidade de Medida;Período de referência;Valor;Estado
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2015-03-31;232287.77;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2015-04-30;231819.68;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2015-05-31;235529.64;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2015-06-30;231441.88;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2015-07-31;233243.06;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2015-08-31;233466.43;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2015-09-30;236361.43;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2015-10-31;233714.83;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2015-11-30;235680.35;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2015-12-31;235746.15;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2016-01-31;239207.84;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2016-02-29;235828.88;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2016-03-31;237547.48;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2016-04-30;240244.72;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2016-05-31;241899.09;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2016-06-30;244086.31;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2016-07-31;245083.68;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2016-08-31;247524.97;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2016-09-30;248628.57;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2016-10-31;247409.93;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2016-11-30;246092.89;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2016-12-31;245244.79;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2017-01-31;246909.78;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2017-02-28;247519.03;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2017-03-31;247748.94;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2017-04-30;251777.40;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2017-05-31;251524.27;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2017-06-30;253341.71;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2017-07-31;253348.05;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2017-08-31;254650.31;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2017-09-30;253457.73;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2017-10-31;249566.28;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2017-11-30;247177.21;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2017-12-31;247173.70;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2018-01-31;248185.34;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2018-02-28;250546.24;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2018-03-31;250330.55;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2018-04-30;254592.88;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2018-05-31;254838.76;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2018-06-30;251110.37;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2018-07-31;252488.46;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2018-08-31;253629.44;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2018-09-30;253168.58;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2018-10-31;255397.85;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2018-11-30;255775.60;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2018-12-31;249263.26;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2019-01-31;252363.26;
